video_a,video_b,block,stratum,env_cos,env_chamfer,env_bhat_sim,env_raw,env_percentile_vs_negatives,verdict
00846fa4-1bc7-56d4-8fa3-dab8841a2b01,50531d7a-77b5-53b4-91bf-478d8de1b04c,Other,same_site_diff_session,0.858,0.5152,0.969,0.7032,100.0,SAME_ENV
0978012c-f2b6-59e5-b588-215760c6d5fa,22ae0c2a-3aeb-5a7a-b430-2efe2f13a095,Other,same_session_distant,0.8327,0.6022,0.923,0.731,100.0,SAME_ENV
0978012c-f2b6-59e5-b588-215760c6d5fa,3d4a4d31-16a3-57b3-97b5-ef875bb29f2f,Other,same_session_distant,0.7859,0.5678,0.9262,0.6979,100.0,SAME_ENV
0978012c-f2b6-59e5-b588-215760c6d5fa,50e82224-2f37-5a71-a4a7-9dfe1351f239,Other,same_session_distant,0.8056,0.5363,0.9332,0.6901,100.0,SAME_ENV
0978012c-f2b6-59e5-b588-215760c6d5fa,c43cf9fa-6f88-54d6-be70-0d6ede4e1246,Other,same_site_diff_session,0.6854,0.5145,0.9033,0.6326,100.0,SAME_ENV
0978012c-f2b6-59e5-b588-215760c6d5fa,eadb4f58-460e-5caf-9f20-3851c618163b,Other,same_site_diff_session,0.7917,0.5821,0.9227,0.7066,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,151079c6-6f48-537e-81fa-041464800ffe,Other,same_site_diff_session,0.6799,0.5627,0.8515,0.6471,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,19a562bb-aac3-5aae-af05-10d00ef0754a,Other,same_site_diff_session,0.7395,0.5692,0.8917,0.6772,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,26912f97-cc83-5c2f-a2e7-686c6b3bf649,Other,same_site_diff_session,0.8462,0.6201,0.9245,0.7449,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,31533fea-0789-5c61-a095-046e694eed27,Other,same_site_diff_session,0.8131,0.6067,0.9134,0.7249,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,4113eb7a-2c99-5b4d-ac16-913f679adeeb,Other,same_site_diff_session,0.7613,0.5903,0.8983,0.6963,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,4daf8fb8-1909-5c6f-8e0c-c0f61822cc93,Other,same_site_diff_session,0.7368,0.5435,0.8882,0.6629,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,564eb16a-ccfe-5bf9-bad0-042cbf31feeb,Other,same_site_diff_session,0.7231,0.5804,0.8918,0.6771,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,59b76a7b-4864-572d-8c02-7bf9d6c82bb6,Other,same_session_adjacent,0.9408,0.7136,0.9583,0.8298,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,5cfc3276-8918-5b85-b3d9-f0db3ae92a3e,Other,same_site_diff_session,0.7527,0.5938,0.893,0.6943,100.0,SAME_ENV
0a24ec81-f583-5620-a858-e636fd216de8,6056389a-9403-5a02-a978-a51ff362ade4,Other,same_site_diff_session,0.8568,0.6211,0.9284,0.7497,100.0,SAME_ENV
